"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","AOI_visited","DT","First_Fix","n"
"Guest09",90,70,80,15,"FF","FL",1,764,0,"Salty",451.009,1,3
"Guest09",90,70,80,16,"FL","FF",1,937,1,"Healthy",683.007,1,3
"Guest09",90,70,80,16,"FL","FF",1,937,1,"Salty",266.996,0,1
"Guest09",90,70,80,17,"FF","FL",1,650,1,"Healthy",648.999,1,2
"Guest09",90,70,80,17,"FF","FL",1,650,1,"Salty",564.992,0,2
"Guest09",90,70,80,18,"FL","FF",1,1741,0,"Healthy",733.004,1,2
"Guest09",90,70,80,18,"FL","FF",1,1741,0,"Salty",132.992,0,1
"Guest09",90,70,80,19,"FF","FL",1,731,0,"Healthy",349.005,0,1
"Guest09",90,70,80,19,"FF","FL",1,731,0,"Salty",631.014,1,4
"Guest09",90,70,80,2,"FL","FF",1,466,0,"Healthy",464.986,1,3
"Guest09",90,70,80,2,"FL","FF",1,466,0,"Salty",516.006,0,2
"Guest09",90,70,80,20,"FL","FF",1,792,1,"Healthy",433.998,1,2
"Guest09",90,70,80,20,"FL","FF",1,792,1,"Salty",116.007,0,1
"Guest09",90,70,80,21,"FF","FL",1,973,1,"Healthy",916.007,0,3
"Guest09",90,70,80,21,"FF","FL",1,973,1,"Salty",264.999,1,1
"Guest09",90,70,80,22,"FL","FF",1,766,0,"Healthy",898.995,1,2
"Guest09",90,70,80,22,"FL","FF",1,766,0,"Salty",150.003,0,1
"Guest09",90,70,80,23,"FF","FL",1,687,0,"Salty",216,1,1
"Guest09",90,70,80,24,"FL","FF",1,741,1,"Healthy",484.007,1,3
"Guest09",90,70,80,24,"FL","FF",1,741,1,"Salty",566.003,0,1
"Guest09",90,70,80,25,"FF","FL",1,635,1,"Healthy",812.007,0,4
"Guest09",90,70,80,25,"FF","FL",1,635,1,"Salty",481.011,1,1
"Guest09",90,70,80,26,"FL","FF",1,732,0,"Healthy",416.999,1,3
"Guest09",90,70,80,26,"FL","FF",1,732,0,"Salty",549.005,0,2
"Guest09",90,70,80,27,"FF","FL",1,668,0,"Healthy",115.994,0,1
"Guest09",90,70,80,27,"FF","FL",1,668,0,"Salty",365.989,1,2
"Guest09",90,70,80,28,"FL","FF",1,706,1,"Healthy",514.01,1,2
"Guest09",90,70,80,28,"FL","FF",1,706,1,"Salty",182.988,0,1
"Guest09",90,70,80,29,"FF","FL",1,797,1,"Healthy",450.994,1,2
"Guest09",90,70,80,29,"FF","FL",1,797,1,"Salty",448.999,0,2
"Guest09",90,70,80,3,"FF","FL",1,746,0,"Healthy",399.002,0,1
"Guest09",90,70,80,3,"FF","FL",1,746,0,"Salty",615.987,1,3
"Guest09",90,70,80,30,"FL","FF",1,898,0,"Healthy",331.993,1,2
"Guest09",90,70,80,31,"FF","FL",1,531,0,"Healthy",533.005,0,2
"Guest09",90,70,80,31,"FF","FL",1,531,0,"Salty",599.002,1,2
"Guest09",90,70,80,32,"FL","FF",1,646,1,"Healthy",732.006,1,3
"Guest09",90,70,80,32,"FL","FF",1,646,1,"Salty",281.997,0,1
"Guest09",90,70,80,33,"FF","FL",1,837,1,"Healthy",282.995,0,1
"Guest09",90,70,80,33,"FF","FL",1,837,1,"Salty",365.991,1,2
"Guest09",90,70,80,34,"FL","FF",1,776,0,"Healthy",733.004,1,4
"Guest09",90,70,80,34,"FL","FF",1,776,0,"Salty",515.993,0,2
"Guest09",90,70,80,35,"FF","FL",1,620,0,"Healthy",183.987,0,1
"Guest09",90,70,80,35,"FF","FL",1,620,0,"Salty",930.994,1,3
"Guest09",90,70,80,36,"FL","FF",1,907,1,"Healthy",647.999,1,2
